Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,233.0,9.0,28.0,765.0,0.0,1163.853281359695,1163.853281359695,0.0,98.8938798904419,,,,,,,,,,,,,,,,454.1160431358889,383.53242049521015,1152.2903224743648,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,248.0,10.0,15.0,780.0,0.0,517.2824848730704,517.2824848730704,0.0,100.84901571273804,,,,,,,,,,,,,,,,169.74081778554444,165.56336869394167,515.2516242305178,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,289.0,11.0,41.0,821.0,0.0,1666.9665779505797,1666.9665779505797,0.0,104.20771408081055,,,,,,,,,,,,,,,,716.7258578128434,529.9958559325223,1639.2200378180717,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,310.0,12.0,21.0,842.0,0.0,766.4692642907924,766.4692642907924,0.0,106.22874855995178,,,,,,,,,,,,,,,,274.49661397908005,254.35570636923862,761.4663016989305,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,334.0,13.0,24.0,866.0,0.0,675.3380194070413,675.3380194070413,0.0,108.42079305648804,,,,,,,,,,,,,,,,187.93879067812796,208.80240349726856,671.4989874181847,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,357.0,14.0,23.0,889.0,0.0,679.1585170774781,679.1585170774781,0.0,110.54705095291138,,,,,,,,,,,,,,,,249.31572162328405,202.9496509360458,674.0983538339767,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,372.0,15.0,15.0,904.0,0.0,626.5631947769975,626.5631947769975,0.0,112.17372107505798,,,,,,,,,,,,,,,,242.60428841442348,207.04164991903076,623.5476781289101,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,396.0,16.0,24.0,928.0,0.0,703.947296237885,703.947296237885,0.0,114.42856001853943,,,,,,,,,,,,,,,,196.6775729792961,222.0960124210839,699.9269614478299,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,420.0,17.0,24.0,952.0,0.0,884.7647482631075,884.7647482631075,0.0,116.87777519226074,,,,,,,,,,,,,,,,299.7222450387792,286.4230983097834,878.4498642464234,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,443.0,18.0,23.0,975.0,0.0,957.1165988333071,957.1165988333071,0.0,119.08260655403137,,,,,,,,,,,,,,,,364.80070930363314,297.3239775480792,949.6758583777014,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,457.0,19.0,14.0,989.0,0.0,433.7111896806049,433.7111896806049,0.0,120.65924882888794,,,,,,,,,,,,,,,,139.44916142657806,144.0615176624194,432.19109251314615,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,543.0,20.0,86.0,1075.0,0.0,4066.4745181419994,4066.4745181419994,0.0,127.11623573303223,,,,,,,,,,,,,,,,1987.2469366165424,1181.7658601978535,3899.4707523453217,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,30.0,1.0,30.0,1105.0,0.0,1111.9752132014235,1111.9752132014235,0.0,160.93515181541443,,,,,,,,,,,,,,,,402.0273420122901,350.7582493984302,1101.0154083494049,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,62.0,2.0,32.0,1137.0,0.0,1279.6331411623435,1279.6331411623435,0.0,163.74613857269287,,,,,,,,,,,,,,,,516.4626588890172,399.63226682883095,1264.3707067846797,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,105.0,3.0,43.0,1180.0,0.0,1709.590275456325,1709.590275456325,0.0,167.19423460960388,,,,,,,,,,,,,,,,741.4266174179018,525.2471458331557,1679.3883192265812,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,134.0,4.0,29.0,1209.0,0.0,973.7747709755346,973.7747709755346,0.0,169.91919207572937,,,,,,,,,,,,,,,,312.99558098790186,306.8240483775595,965.6635626895753,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,156.0,5.0,22.0,1231.0,0.0,665.6093674559175,665.6093674559175,0.0,172.04349899291992,,,,,,,,,,,,,,,,216.52065347629795,215.14472174580138,661.5074204999391,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,171.0,6.0,15.0,1246.0,0.0,623.3844611076469,623.3844611076469,0.0,173.81992077827454,,,,,,,,,,,,,,,,211.16537640053022,203.65024843032435,620.8378182799189,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,188.0,7.0,17.0,1263.0,0.0,549.177716015196,549.177716015196,0.0,175.6508436203003,,,,,,,,,,,,,,,,152.2146104330671,174.2410403303082,547.1372048426766,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,238.0,8.0,50.0,1313.0,0.0,1816.7552547012037,1816.7552547012037,0.0,179.56727766990662,,,,,,,,,,,,,,,,803.3208578052022,545.2391107987304,1778.3675793903342,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,278.0,9.0,40.0,1353.0,0.0,1690.4879177505952,1690.4879177505952,0.0,182.93628644943237,,,,,,,,,,,,,,,,676.9261493691565,539.121778138747,1665.0759477235533,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,295.0,10.0,17.0,1370.0,0.0,633.4660427058438,633.4660427058438,0.0,184.7510688304901,,,,,,,,,,,,,,,,239.2677988737236,211.04862093374828,630.0285186436344,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,332.0,11.0,37.0,1407.0,0.0,1562.5271307445662,1562.5271307445662,0.0,188.08195900917053,,,,,,,,,,,,,,,,620.7706323201216,491.57417241435877,1541.0997170657881,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,353.0,12.0,21.0,1428.0,0.0,759.817364893416,759.817364893416,0.0,190.08451914787292,,,,,,,,,,,,,,,,266.1809233566691,245.61568484080638,754.982548050977,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,376.0,13.0,23.0,1451.0,0.0,884.0002647995071,884.0002647995071,0.0,192.14896607398987,,,,,,,,,,,,,,,,321.1088196426535,279.3610345631728,877.4922542019281,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,398.0,14.0,22.0,1473.0,0.0,801.0222286009886,801.0222286009886,0.0,194.2486720085144,,,,,,,,,,,,,,,,304.592445410268,264.08685463194655,795.1163111130759,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,413.0,15.0,15.0,1488.0,0.0,556.2554772377179,556.2554772377179,0.0,195.89124989509583,,,,,,,,,,,,,,,,192.19838028223452,187.2887166177569,553.9264279614458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
